# HiSPARC GPS positions configuration source
#
# Station: 505
#
# HiSPARC data is licensed under Creative Commons Attribution-ShareAlike 4.0.
#
#
# This data contains the following columns:
#
# timestamp: time of position calibration in seconds after 1970-1-1 [UNIX timestamp]
# latitude:  latitude of the GPS [degrees]
# longitude: longitude of the GPS [degrees]
# altitude:  height of the GPS [meters]
#
#
# timestamp	latitude	longitude	altitude
1262250468	52.3572669	4.9483966	48.71
1278606833	52.3572728	4.9484035	53.23
1278606841	52.3572733	4.9484039	53.31
1291730122	52.3572684	4.9484224	56.16
1302268070	52.3572516	4.9484008	47.73
1302275715	52.3572684	4.9484224	56.16
1303146350	52.3572684	4.9484224	56.16
1303147479	52.3572684	4.9484224	56.16
1340989398	52.3572684	4.9484224	56.16
1363165679	52.3572556	4.9483814	47.63
1363252568	52.3572524	4.9483850	47.60

